movieTitle,popular,good,bad
星際爭霸戰3,7,2,0
神鬼認證5,21,5,1
寵物當家,37,4,3
海底總動員2,51,20,1
中央情爆員,13,2,1
冰原歷險記5,3,0,0
極樂宿舍,45,5,12
鬼撕眠,8,0,2
國定殺戮日3,10,3,1
舞力重擊,3,1,0
鬼關燈,37,12,1
阿姐萬萬醉,10,2,0
哆啦A夢2016,0,0,0
恐怖鄰人,8,3,2
暗殺教室2,0,0,0
異次元凶間,1,0,0
名偵探柯南20,0,0,0
女人沉睡時,2,0,1
六弄咖啡館,116,37,14
蝙蝠俠:致命玩笑,1,1,0
最酷的一天,7,4,0
大同,14,5,0
愛情未來,7,2,0
夏日情事,1,1,0
歡迎來到美國,5,1,0
家有洛洛,4,2,0
變裝皇后萬萬歲,6,4,0
狂虐性告白,1,0,0
沉默茱麗葉,1,0,0
不只是閨蜜,5,0,0
山河故人,6,4,0
自殺突擊隊,379,49,54
吹夢巨人,9,1,1
賓漢,27,9,2
極速秒殺2,19,3,5
妮嘉,18,14,0
樓下的房客,240,68,39
絕鯊島,29,11,1
危城,27,6,1
我的哈比情人,2,1,0
正宗哥吉拉,91,46,2
酷寶:魔弦傳說,0,0,0
火線掏寶,16,6,0
命懸生死線,3,1,0
科技浩劫,8,1,1
大顯神威,9,0,0
咖啡愛情,12,6,1
貞子<U+202C>VS <U+202A>伽椰子,0,0,0
封神傳奇,8,0,3
航海王電影Gold,0,0,0
霓虹惡魔,10,2,2
蠟筆小新:爆睡!,0,0,0
丹麥共居生活,1,0,0
醉後之旅,1,0,0
進擊的摔角男孩,2,0,1
電影版櫻桃小丸子,9,1,1
哭聲,76,20,6
大審判家,5,2,0
暴亂夜,1,0,0
從好久以前就喜歡你,1,0,1
零日網路戰,1,1,0
聽見愛你的聲音,1,0,0
地獄哪有那麼HIGH,8,4,0
十年,77,16,1
我出去一下,11,4,0
如果這世界貓消失了,33,19,3
瘋狂邁爾士,3,1,0
推銷員之戀,4,2,0
變蟲人,2,0,1
攻佔羅浮宮,3,0,0
愛情天文學,13,2,2
賞金獵人,4,0,0
我的老爸喵星人,8,4,1
婚禮玩很大,2,0,0
BJ有喜,26,14,0
神鬼駭客:史諾登,0,0,0
怪奇孤兒院,77,24,7
蘇珊夫人尋婚計,6,3,0
玩命直播,27,8,0
終極飆靶,7,1,0
赴湯蹈火,12,10,0
暫時停止呼吸,47,18,6
屍速列車,886,202,72
薩利機長,73,40,2
使徒行者,26,12,0
終極舞班,4,0,1
特厲鬼屋,6,0,5
魔詭,4,0,2
鬼打牆,8,2,0
插旗攻城市,3,1,0
我的蛋男情人,22,7,7
S風暴,1,0,0
報告班長7,8,1,1
納粹龐克,1,0,0
代號:鐵鉻行動,1,1,0
非普通型男,2,1,0
殿下萬萬稅,7,2,0
藥命真相,1,0,1
明天別再來敲門,20,9,0
Lady's尖頭們,0,0,0
愛與黑暗的故事,8,3,1
白晝之雨,5,3,0
比海還深,31,20,0
吸血鬼腥靈診療,1,0,0
最後一次自由,3,0,0
NY單身日記,9,3,0
性愛巴弒,1,0,0
超自然研究會,2,0,0
遊戲王:,2,1,0
次元的黑暗面,9,6,0
時空叛逃者,6,2,0
大藝術家與我,1,0,0
天才柏金斯,9,4,0
甜蜜的哀傷,1,1,0
植物圖鑑,2,0,1
送子鳥,12,4,0
會計師,132,39,7
神隱任務2,15,1,4
奇異博士,272,58,10
怒火,61,17,1
地平線,42,11,0
地獄,124,34,9
碟仙2,1,0,0
獵愛大臨演,0,0,0
湄公河行動,11,1,3
時尚帝國合約的開始,2,0,0
起源:首爾車站,1,0,0
鬼才要畢業,4,0,0
為妳說的謊,14,6,2
巴黎走音天后,14,5,0
你的名字,593,172,31
愛是一隻貓,3,1,0
絕地7騎士,19,5,0
神廚東京壯遊記,6,4,0
鬼開門,4,0,1
幸運是我,5,1,0
列車上的女孩,14,2,0
完美陌生人,22,14,0
德布西森林,14,3,2
我的型男老闆,8,1,0
重返心原點,6,1,0
怒,176,32,5
美國心風暴,4,0,0
已經很想妳,4,3,0
笨賊樂盜家,3,0,0
