movieTitle,good,bad
麥田書香,0,0
愛人怪物,4,0
西西里的漫長等待,1,0
帝國毀滅:關鍵13分鐘,0,0
魔物戀人,2,0
特務超級爸,0,0
忍者龜2:,0,0
破影而出,6,3
厲陰宅2,55,2
假會徵信社,12,1
ID4星際終結者2,0,1
俺物語!!,0,0
魔獸:崛起,7,1
我就要你好好的,48,16
下女的誘惑,21,0
信長協奏曲,6,1
出神入化2,10,14
梭哈人生,1,1
萌學園:尋找磐古,0,0
夢碎天堂,3,0
憤怒鳥玩電影,1,0
搖滾青春戀習曲,19,0
傷物語:<U+9244>血篇,0,0
深海逃脫,0,0
師父,17,0
運河怪談,1,0
世界之庭,1,0
遠方禁戀,3,0
殺人一舉,1,0
春色蕩漾,1,0
沉默一瞬,1,0
水手服與機關槍,0,0
漢娜鄂蘭,1,0
─思想的行動,0,0
泰山傳奇,3,1
寒戰2,24,9
魔鬼剋星,31,3
星際爭霸戰3,2,0
神鬼認證5,5,1
寵物當家,4,3
海底總動員2,20,1
中央情爆員,2,1
冰原歷險記5,0,0
極樂宿舍,5,12
鬼撕眠,0,2
國定殺戮日3,3,1
舞力重擊,1,0
鬼關燈,12,1
阿姐萬萬醉,2,0
哆啦A夢2016,0,0
恐怖鄰人,3,2
暗殺教室2,0,0
異次元凶間,0,0
名偵探柯南20,0,0
女人沉睡時,0,1
六弄咖啡館,37,14
蝙蝠俠:致命玩笑,1,0
最酷的一天,4,0
大同,5,0
愛情未來,2,0
夏日情事,1,0
歡迎來到美國,1,0
家有洛洛,2,0
變裝皇后萬萬歲,4,0
狂虐性告白,0,0
沉默茱麗葉,0,0
不只是閨蜜,0,0
山河故人,4,0
自殺突擊隊,49,54
吹夢巨人,1,1
賓漢,9,2
極速秒殺2,3,5
妮嘉,14,0
樓下的房客,68,39
絕鯊島,11,1
危城,6,1
我的哈比情人,1,0
正宗哥吉拉,46,2
酷寶:魔弦傳說,0,0
火線掏寶,6,0
命懸生死線,1,0
科技浩劫,1,1
大顯神威,0,0
咖啡愛情,6,1
貞子<U+202C>VS <U+202A>伽椰子,0,0
封神傳奇,0,3
航海王電影Gold,0,0
霓虹惡魔,2,2
蠟筆小新:爆睡!,0,0
丹麥共居生活,0,0
醉後之旅,0,0
進擊的摔角男孩,0,1
電影版櫻桃小丸子,1,1
哭聲,20,6
大審判家,2,0
